Species,Amino_acid,Mean,Standard Deviation
Dere,Leucine,40.49251497,33.17783988
Dyak,Leucine,40.26047904,32.98131488
Dmel,Leucine,40.23353293,33.07964966
Dsec,Leucine,40.41317365,33.13943022
Dsim,Leucine,40.36377246,33.24428242
Dtak,Leucine,40.70508982,33.49570678
Dbia,Leucine,40.76646707,33.41869161
Dsuz,Leucine,40.15568862,32.96406222
Dbus,Lysine,25.40568862,21.14266023
Dgri,Lysine,25.43562874,21.23659228
Dvir,Lysine,25.28892216,21.17419854
Dnov,Lysine,25.19311377,21.20246119
Dhyd,Lysine,25.73952096,21.4062818
Dnav,Lysine,25.68712575,21.47777378
Dmoj,Lysine,25.76347305,21.6431682
Dari,Lysine,25.60479042,21.48105628
Dwil,Lysine,26.52844311,22.59945401
Dobs,Lysine,25.77694611,22.17065354
Dmir,Lysine,26.0748503,22.54857351
Dper,Lysine,26.02994012,22.45753618
Dpse,Lysine,26.09131737,22.44631876
Dbip,Lysine,26.72305389,23.24389185
Dana,Lysine,26.63772455,23.09397818
Dser,Lysine,25.99251497,22.70100826
Dkik,Lysine,25.93862275,22.47979214
Dfic,Lysine,26.49700599,23.09412959
Drho,Lysine,26.07784431,22.83267971
Dele,Lysine,25.92365269,22.75899105
Deug,Lysine,26.55988024,23.04069162
Dere,Lysine,26.0748503,22.64464608
Dyak,Lysine,26.04491018,22.74586318
Dmel,Lysine,26.31586826,22.91462388
Dsec,Lysine,26.29790419,22.84120652
Dsim,Lysine,26.34580838,22.88780792
Dtak,Lysine,25.9251497,22.75731615
Dbia,Lysine,26.07784431,22.97903197
Dsuz,Lysine,25.7245509,22.14526517
Dbus,Methionine,10.33682635,7.852578533
Dgri,Methionine,10.49550898,8.046993397
Dvir,Methionine,10.20359281,7.829164653
Dnov,Methionine,10.19011976,7.850825718
Dhyd,Methionine,10.25299401,7.869269554
Dnav,Methionine,10.24401198,7.900356401
Dmoj,Methionine,10.26796407,7.857714668
Dari,Methionine,10.17814371,7.766629969
Dwil,Methionine,10.32185629,7.908945924
Dobs,Methionine,10.41766467,7.993107184
Dmir,Methionine,10.44311377,8.060382906
Dper,Methionine,10.40568862,8.003284407
Dpse,Methionine,10.41916168,7.978102972
Dbip,Methionine,9.917664671,7.857279358
Dana,Methionine,9.910179641,7.90048779
Dser,Methionine,10.09730539,7.94571869
Dkik,Methionine,10.00449102,7.916826493
